dev_loginname	proj_unixname	is_admin	position
a3dge_mac	a3dge	0	Doc Writer
niunio	a3dge	1	No specific role
kencochrane	a4j	1	No specific role
tom42	a78tools	1	No specific role
lmccay	aaa4avalon	1	Developer
mothyjules	aaa4avalon	0	Developer
paul-h	aaa4avalon	0	Developer
rwwallace	aaa4avalon	1	Developer
mlipp	aac-xforms	1	Project Manager
macbishop	aaio	1	No specific role
mantask	aamon	1	No specific role
psoleni	aamon	1	Developer
agathos	aba	1	Project Manager
tobiaseberle	aba	1	Developer
abaguidev1	abaguibuilder	1	Developer
abaguidev3	abaguibuilder	1	Developer
abaguidev4	abaguibuilder	1	Developer
jnfleisc	abat	1	No specific role
paulrosen	abcp	0	No specific role
rdentato	abcp	1	Developer
thistledowne	abcp	1	No specific role
pradox	abcwebclient	1	Developer
flexer	abele	1	No specific role
michelg	abkit	1	No specific role
brunow	abr	1	No specific role
avicalev	absolutex	1	No specific role
avinoam	absolutex	0	No specific role
guyb	absolutex	0	No specific role
krasner	absolutex	0	No specific role
lipatov	absolutex	0	No specific role
oranb	absolutex	0	No specific role
rotem	absolutex	0	No specific role
zigfried	absolutex	1	No specific role
zuchman	absolutex	0	No specific role
justinrudd	abstractadonet	1	No specific role
lennartgr	abstractdb	1	No specific role
ctzurcanu	abstractdb-php	1	No specific role
cpp_programmer	abxlib	0	Developer
neuralx	abxlib	1	Project Manager
witzeldev	abxlib	1	No specific role
gborrelli2006	abyssstudio	1	No specific role
agilejava	acai	0	No specific role
bitiboy	acai	1	No specific role
superbible_cs	acai	0	No specific role
yinming528	acassist	1	No specific role
tony_ambr	accesslib	1	No specific role
nwinkler	accessmodifier	1	Project Manager
pthaz	accessroad	1	No specific role
theplanet	accountguard	1	Developer
rblaze	ace-freebsd	1	All-Hands Person
alexagr	ace-radius	1	No specific role
ksevindik	acegi-ext	1	No specific role
djeeg	aceginet	1	Porter (Cross Platform Devel.)
yljia	acfproj	1	No specific role
abrager	acid	0	Developer
ebf	acid	1	Project Manager
jaschau	acid3lib	1	Project Manager
aenarionita	ackronic	1	No specific role
alpeter	b-forms	1	No specific role
marcmenghin	acmdoc	1	Project Manager
markusplangg	acmdoc	1	Developer
ashishg55	acmgr	1	No specific role
dchang_ca	acmgr	1	Developer
acmx	acmx	1	Developer
a_sauerhoefer	acrypt	1	No specific role
ezequieljadib	acs-nh	1	Developer
gartland	acsf	1	No specific role
delson	babel-lib	1	No specific role
unifex	babel-lib	1	Developer
angelcode	actb	1	No specific role
p_lafraise	actionfactory	1	Developer
t_chevalier	actionfactory	1	Project Manager
ptoman	actionframework	1	No specific role
anshil	babylon	1	No specific role
ajanicij	babylonlib	1	All-Hands Person
darkomarko	babylonlib	0	Developer
darkoquak	babylonlib	0	No specific role
ddarko	babylonlib	1	No specific role
nphelps	active-jms	1	Developer
activebpel	activebpel	1	No specific role
activegrid	activegrid	1	All-Hands Person
bethf	activegrid	0	Content Management
geremycohen	activegrid	1	Support Manager
jdhare	activegrid	0	Developer
mattmcnulty	activegrid	0	Developer
